Material_Key,SAP_Material_Number,QAD_Material_Number,SAP_Planning_SKU,QAD_Planning_SKU,material_description,material_type,unit_of_measure,unit_of_measure_description,product_line,product_line_description,weight,application,sub_application,brand,brand_category,length_in,width_in,height_in,warranty_months,pallet_quantity,cost_usd,pallet_layer_qty,MCN
1,361756777,Q973236,PLN-200001,QPLN-200001,AeroLite Wiring Industrial Backup Power 00001,RM,EA,Each,Wiring,Harnesses & connectors,19.89,Industrial,Backup Power,AeroLite,Aerospace,40,8,7,8,6,56.0,6,
2,687282209,Q636933,PLN-200002,QPLN-200002,MediPower Wiring Automotive ICE 00002,FG,FT,Feet,Wiring,Harnesses & connectors,0.1,Automotive,ICE,MediPower,Medical,24,13,3,28,9,388.81,3,MCN3263
3,698132408,Q528551,PLN-200003,QPLN-200003,VoltMax Energy Storage Aerospace Avionics 00003,RM,EA,Each,Energy Storage,Battery modules and packs,14.31,Aerospace,Avionics,VoltMax,Premium,16,15,9,11,6,66.54,6,
4,204249766,Q839679,PLN-200004,QPLN-200004,MediPower Controls Marine Propulsion 00004,RM,EA,Each,Controls,Controllers & power electronics,14.62,Marine,Propulsion,MediPower,Medical,16,19,9,17,4,76.38,4,
5,878021610,Q606700,PLN-200005,QPLN-200005,AeroLite Enclosures Aerospace Avionics 00005,SFG,SET,Set,Enclosures,"Cabinets, housings, brackets",6.13,Aerospace,Avionics,AeroLite,Aerospace,37,22,4,8,2,175.78,2,
6,811580067,Q910893,PLN-200006,QPLN-200006,AeroLite Enclosures Automotive ICE 00006,FG,EA,Each,Enclosures,"Cabinets, housings, brackets",12.75,Automotive,ICE,AeroLite,Aerospace,19,21,15,31,8,390.91,4,MCN3093
7,370573115,Q385942,PLN-200007,QPLN-200007,MediPower Wiring Medical Devices 00007,SFG,EA,Each,Wiring,Harnesses & connectors,19.4,Medical,Devices,MediPower,Medical,52,10,13,6,4,205.79,1,
8,126182102,Q658261,PLN-200008,QPLN-200008,TitanCore Wiring Automotive EV/Hybrid 00008,SFG,KG,Kilogram,Wiring,Harnesses & connectors,1.05,Automotive,EV/Hybrid,TitanCore,Industrial,19,10,4,13,24,185.37,8,
9,333325014,Q132684,PLN-200009,QPLN-200009,AeroLite Energy Storage Industrial Backup Power 00009,SFG,EA,Each,Energy Storage,Battery modules and packs,18.54,Industrial,Backup Power,AeroLite,Aerospace,9,6,11,16,96,298.58,32,
10,918205626,Q264495,PLN-200010,QPLN-200010,MediPower Thermal Automotive EV/Hybrid 00010,FG,KG,Kilogram,Thermal,Cooling systems & manifolds,44.09,Automotive,EV/Hybrid,MediPower,Medical,29,23,20,20,6,405.18,2,MCN2144
11,937207980,Q462568,PLN-200011,QPLN-200011,MediPower Enclosures Energy Storage 00011,FG,KG,Kilogram,Enclosures,"Cabinets, housings, brackets",4.08,Energy,Storage,MediPower,Medical,9,26,5,29,16,386.73,4,MCN1289
12,842008386,Q877427,PLN-200012,QPLN-200012,EcoCell Wiring Energy Storage 00012,SFG,EA,Each,Wiring,Harnesses & connectors,10.18,Energy,Storage,EcoCell,Value,29,1,6,11,48,179.53,48,
13,690955553,Q133143,PLN-200013,QPLN-200013,EcoCell Energy Storage Industrial Backup Power 00013,SFG,LBS,Pounds,Energy Storage,Battery modules and packs,0.34,Industrial,Backup Power,EcoCell,Value,37,1,1,8,96,76.86,48,
14,683170866,Q784790,PLN-200014,QPLN-200014,HarborVolt Sensing Aerospace Avionics 00014,RM,LBS,Pounds,Sensing,Sensors & actuators,53.87,Aerospace,Avionics,HarborVolt,Marine,25,21,17,24,4,55.96,2,
15,872647186,Q155010,PLN-200015,QPLN-200015,HarborVolt Enclosures Aerospace Avionics 00015,SFG,FT,Feet,Enclosures,"Cabinets, housings, brackets",18.15,Aerospace,Avionics,HarborVolt,Marine,33,8,21,8,6,204.8,6,
16,435519791,Q400030,PLN-200016,QPLN-200016,TitanCore Enclosures Automotive EV/Hybrid 00016,SFG,FT,Feet,Enclosures,"Cabinets, housings, brackets",24.27,Automotive,EV/Hybrid,TitanCore,Industrial,1,9,19,15,400,142.09,200,
17,633401607,Q439893,PLN-200017,QPLN-200017,TitanCore Enclosures Automotive ICE 00017,FG,FT,Feet,Enclosures,"Cabinets, housings, brackets",20.39,Automotive,ICE,TitanCore,Industrial,28,15,8,25,6,501.02,3,MCN3304
18,552904924,Q842015,PLN-200018,QPLN-200018,EcoCell Wiring Industrial Material Handling 00018,PKG,SET,Set,Wiring,Harnesses & connectors,12.16,Industrial,Material Handling,EcoCell,Value,27,16,1,10,6,5.49,3,
19,221266501,Q891088,PLN-200019,QPLN-200019,HarborVolt Sensing Industrial Backup Power 00019,RM,EA,Each,Sensing,Sensors & actuators,3.33,Industrial,Backup Power,HarborVolt,Marine,4,25,10,10,40,64.8,10,
20,632860711,Q791746,PLN-200020,QPLN-200020,AeroLite Controls Medical Devices 00020,RM,KG,Kilogram,Controls,Controllers & power electronics,5.18,Medical,Devices,AeroLite,Aerospace,25,8,8,19,12,94.68,6,
21,814991195,Q926826,PLN-200021,QPLN-200021,VoltMax Enclosures Industrial Material Handling 00021,FG,LBS,Pounds,Enclosures,"Cabinets, housings, brackets",5.35,Industrial,Material Handling,VoltMax,Premium,32,18,1,22,6,281.95,2,MCN1570
22,622624559,Q640016,PLN-200022,QPLN-200022,VoltMax Wiring Marine Propulsion 00022,RM,SET,Set,Wiring,Harnesses & connectors,9.79,Marine,Propulsion,VoltMax,Premium,15,1,14,7,384,86.86,96,
23,525495020,Q193779,PLN-200023,QPLN-200023,VoltMax Controls Automotive ICE 00023,RM,KG,Kilogram,Controls,Controllers & power electronics,35.59,Automotive,ICE,VoltMax,Premium,42,22,8,10,3,90.74,1,
24,546445294,Q244049,PLN-200024,QPLN-200024,TitanCore Sensing Energy Storage 00024,FG,EA,Each,Sensing,Sensors & actuators,16.92,Energy,Storage,TitanCore,Industrial,37,8,17,28,12,295.64,6,MCN2945
25,179865201,Q882487,PLN-200025,QPLN-200025,TitanCore Controls Industrial Backup Power 00025,RM,KG,Kilogram,Controls,Controllers & power electronics,0.35,Industrial,Backup Power,TitanCore,Industrial,20,1,6,13,192,79.18,96,
26,478345185,Q730263,PLN-200026,QPLN-200026,VoltMax Enclosures Energy Storage 00026,FG,FT,Feet,Enclosures,"Cabinets, housings, brackets",10.8,Energy,Storage,VoltMax,Premium,33,23,2,23,2,218.9,2,MCN1891
27,341388908,Q468942,PLN-200027,QPLN-200027,AeroLite Charging Marine Propulsion 00027,RM,LBS,Pounds,Charging,Chargers & accessories,27.01,Marine,Propulsion,AeroLite,Aerospace,42,4,18,5,1,96.42,1,
28,596215263,Q383513,PLN-200028,QPLN-200028,VoltMax Thermal Marine Propulsion 00028,SFG,KG,Kilogram,Thermal,Cooling systems & manifolds,7.91,Marine,Propulsion,VoltMax,Premium,59,17,4,4,4,117.46,1,
29,382372189,Q808268,PLN-200029,QPLN-200029,AeroLite Sensing Industrial Backup Power 00029,RM,LBS,Pounds,Sensing,Sensors & actuators,25.64,Industrial,Backup Power,AeroLite,Aerospace,21,8,17,12,12,80.81,6,
30,203607505,Q729284,PLN-200030,QPLN-200030,MediPower Charging Medical Devices 00030,RM,LBS,Pounds,Charging,Chargers & accessories,26.22,Medical,Devices,MediPower,Medical,23,13,10,18,6,82.35,3,
31,620212080,Q828559,PLN-200031,QPLN-200031,EcoCell Controls Marine Propulsion 00031,SFG,LBS,Pounds,Controls,Controllers & power electronics,3.75,Marine,Propulsion,EcoCell,Value,18,5,4,25,18,112.9,18,
32,619289242,Q110755,PLN-200032,QPLN-200032,VoltMax Sensing Automotive EV/Hybrid 00032,SUBASSY,EA,Each,Sensing,Sensors & actuators,13.93,Automotive,EV/Hybrid,VoltMax,Premium,24,13,18,19,9,207.06,3,
33,445430237,Q692769,PLN-200033,QPLN-200033,TitanCore Sensing Marine Propulsion 00033,SUBASSY,KG,Kilogram,Sensing,Sensors & actuators,0.71,Marine,Propulsion,TitanCore,Industrial,18,1,8,5,384,182.26,96,
34,998905817,Q226675,PLN-200034,QPLN-200034,VoltMax Sensing Energy Storage 00034,FG,EA,Each,Sensing,Sensors & actuators,16.93,Energy,Storage,VoltMax,Premium,39,20,12,21,6,412.68,2,MCN3393
35,589318336,Q479874,PLN-200035,QPLN-200035,VoltMax Energy Storage Automotive EV/Hybrid 00035,RM,KG,Kilogram,Energy Storage,Battery modules and packs,6.02,Automotive,EV/Hybrid,VoltMax,Premium,33,10,4,15,8,46.2,4,
36,785728502,Q749166,PLN-200036,QPLN-200036,VoltMax Sensing Marine Propulsion 00036,RM,SET,Set,Sensing,Sensors & actuators,8.15,Marine,Propulsion,VoltMax,Premium,15,15,15,15,18,48.3,6,
37,586177925,Q296824,PLN-200037,QPLN-200037,HarborVolt Energy Storage Aerospace Avionics 00037,RM,LBS,Pounds,Energy Storage,Battery modules and packs,2.78,Aerospace,Avionics,HarborVolt,Marine,39,15,2,12,3,24.84,3,
38,843629710,Q893223,PLN-200038,QPLN-200038,AeroLite Enclosures Industrial Backup Power 00038,FG,LBS,Pounds,Enclosures,"Cabinets, housings, brackets",58.57,Industrial,Backup Power,AeroLite,Aerospace,19,34,11,32,6,378.3,2,MCN1539
39,327062570,Q653016,PLN-200039,QPLN-200039,HarborVolt Controls Aerospace Avionics 00039,RM,EA,Each,Controls,Controllers & power electronics,29.04,Aerospace,Avionics,HarborVolt,Marine,1,22,12,11,80,78.22,80,
40,436753702,Q472190,PLN-200040,QPLN-200040,VoltMax Energy Storage Industrial Backup Power 00040,SFG,KG,Kilogram,Energy Storage,Battery modules and packs,0.46,Industrial,Backup Power,VoltMax,Premium,15,1,6,7,192,276.27,96,
41,221250466,Q999575,PLN-200041,QPLN-200041,TitanCore Energy Storage Marine Propulsion 00041,FG,EA,Each,Energy Storage,Battery modules and packs,0.13,Marine,Propulsion,TitanCore,Industrial,45,16,5,23,3,239.65,1,MCN1172
42,822915980,Q550022,PLN-200042,QPLN-200042,TitanCore Wiring Industrial Backup Power 00042,FG,FT,Feet,Wiring,Harnesses & connectors,13.4,Industrial,Backup Power,TitanCore,Industrial,9,16,8,22,36,291.62,12,MCN1601
43,148342749,Q313861,PLN-200043,QPLN-200043,TitanCore Charging Aerospace Avionics 00043,RM,FT,Feet,Charging,Chargers & accessories,17.17,Aerospace,Avionics,TitanCore,Industrial,19,20,15,12,4,49.91,4,
