shipment_id,order_line_key,shipment_date,Customer_Key,Plant_Key,Material_Key,Delivery_Qty,Ship_Method,Carrier,Tracking_Number
1,1,2025-05-06,42480,18,6595,510,LTL,FedEx,TRK3121137416
2,2,2025-07-04,8198,16,7350,478,FTL,Maersk,TRK9826283972
3,2,2025-07-06,8198,16,7350,208,Air,DB Schenker,TRK5369698010
4,3,2026-07-04,14340,1,8053,107,LTL,Maersk,TRK4199436302
5,4,2027-02-25,4933,35,9530,216,Parcel,XPO,TRK6213316880
6,6,2025-09-15,5600,19,1384,333,LTL,XPO,TRK9063810128
7,7,2026-10-24,1160,13,1016,663,Parcel,XPO,TRK9044828080
8,8,2025-01-29,12319,32,9980,99,Air,XPO,TRK8891781645
9,9,2026-12-15,1803,3,2106,147,Parcel,Maersk,TRK6533738338
10,10,2026-08-04,7260,18,6107,384,FTL,DHL,TRK6694040681
11,11,2026-02-10,5168,20,324,327,LTL,DHL,TRK3361876164
12,14,2026-01-12,27458,19,448,133,Parcel,UPS,TRK7231128390
13,16,2025-10-10,1327,30,8852,290,LTL,UPS,TRK9483542791
14,16,2025-10-12,1327,30,8852,213,Parcel,UPS,TRK7989950470
15,17,2025-05-05,42489,29,5702,380,Parcel,XPO,TRK7037882935
16,19,2024-10-26,11924,4,6812,39,Air,XPO,TRK6294610223
17,20,2026-06-29,28747,21,8276,204,FTL,Maersk,TRK4238649792
18,21,2025-09-29,976,15,1263,335,LTL,DHL,TRK7302734544
19,22,2026-12-17,33321,18,2642,610,LTL,UPS,TRK5412399823
20,23,2027-01-05,21963,8,2320,26,LTL,UPS,TRK7499030381
21,23,2027-01-07,21963,8,2320,140,Air,FedEx,TRK4337234565
22,25,2025-05-01,41655,27,8183,584,LTL,XPO,TRK4780731341
23,26,2026-01-05,6362,28,8180,30,LTL,XPO,TRK6850209130
24,26,2026-01-07,6362,28,8180,224,LTL,DHL,TRK5166324907
25,27,2025-08-02,6427,29,401,513,Parcel,DB Schenker,TRK7993097698
26,29,2026-03-04,30763,14,6383,386,Air,FedEx,TRK5736769470
27,30,2024-09-29,39760,31,658,127,Parcel,UPS,TRK6621216705
28,31,2024-12-18,8753,24,6363,250,FTL,DHL,TRK6262333743
29,33,2025-07-06,9795,13,9180,246,Air,DHL,TRK8042453208
30,35,2026-06-09,36037,18,9534,77,Air,FedEx,TRK2839428889
31,35,2026-06-11,36037,18,9534,633,FTL,DB Schenker,TRK5970189171
32,36,2024-12-03,36782,5,8953,468,LTL,XPO,TRK5092632892
33,38,2024-09-24,47283,23,9616,221,LTL,FedEx,TRK9928608781
34,39,2025-02-13,14451,7,6202,4,Parcel,DB Schenker,TRK4288051374
35,39,2025-02-15,14451,7,6202,13,Air,DB Schenker,TRK6151843457
